ISOAlpha3,Country,Indicator,Age,Sex,Year,Domain,Indicator Code,Lower value,Upper value,Value
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,2.54,4.36,3.39
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,5.02,7.35,6.19
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,3.69,5.21,4.36
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,5.13,7.98,6.49
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2000,Level of consumption,SA_0000001688,7.52,10.76,9.18
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,2.54,4.36,3.39
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,5.02,7.35,6.19
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,3.69,5.21,4.36
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,5.13,7.98,6.49
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2001,Level of consumption,SA_0000001688,7.52,10.76,9.18
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,2.55,4.4,3.4
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,4.79,7.1,5.91
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,3.62,5.06,4.26
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,5.05,7.91,6.41
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2002,Level of consumption,SA_0000001688,7.04,10.06,8.63
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,2.73,4.62,3.61
COL,Colombia,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,4.68,6.89,5.73
ECU,Ecuador,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,3.42,4.83,4.1
PER,Peru,"Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,5.33,8.08,6.64
VEN,"Venezuela, Bolivarian Republic of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2003,Level of consumption,SA_0000001688,6.87,9.95,8.4
BOL,"Bolivia, Plurinational State of","Alcohol, total per capita (15+) consumption in litres of pure alcohol",15+ years,Both sexes,2004,Level of consumption,SA_0000001688,3,4.93,3.9
