"country","year","gdp","gdp_per_capita","hcpi","cpi","deflator","gdp_real_per_capita","apc","apc_male","apc_female","rec_apc","rec_apc_sprits","rec_apc_wine","rec_apc_beer","rec_apc_other","unrec_apc","tourist","drinkers_female","drinkers","drinkers_male","abstainers","abstainers_female","abstainers_male","abstainers_12m_male","abstainers_12m","abstainers_12m_female","former_drinkers","former_drinkers_male","former_drinkers_female","consumers_12m_female","consumers_12m","consumers_12m_male","hed","hed_female","hed_male","hed_agestd","hed_agestd_female","hed_agestd_male","ad_12m_female","ad_12m_male","ad_12m","aud_12m","aud_12m_male","aud_12m_female","ahu_12m","ahu_12m_female","ahu_12m_male"
"AFG",2019,18904490262.913,500.522664145294,2.30200004577637,2.30237251516844,6.52147984507825,2065.0361328125,0.01618,0.01618,0.01618,0.01,0.01,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2018,18418848299.5825,502.056770622973,0.63,0.626149149168811,2.07134857890898,2033.80444335938,0.2,0.2,0.2,0.01,0.01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2017,18896352021.94,530.149830802984,4.976,4.9759515055383,2.40365618844285,2058.40014648438,NA,NA,NA,0.01,0.01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2016,18019558181.9602,520.252064031151,4.38000011444092,4.38389195513914,-2.19752646590604,2057.06787109375,0.2,0.2,0.2,0.01,0.01,0,0,0,0.2,NA,11.5,26.9,30.4,99.1,99.6,98.6,99,99.3,99.7,0.3,0.4,0.1,"0.3","0.7","1",2,0.5,2.3,0,0,0,0.1,0.3,0.2,0.4,0.6,0.1,0.2,0,0.3
"AFG",2015,19998156214.3988,592.476537451681,-0.660000026226044,-0.661709164713696,2.44756300204637,2068.26586914062,0.00874,0.00874,0.00874,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2014,20550582746.8448,628.146803888496,4.67000007629395,4.67399603536339,0.566944540816536,2102.38452148438,NA,NA,NA,0.01,0.01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2013,20564485419.1684,651.987861948108,7.3899998664856,7.38577178397857,4.82278547931649,2116.46533203125,NA,NA,NA,0.01,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2012,20203572959.5023,663.141052810937,6.44000005722046,6.44121280934118,7.30175647136595,2075.49169921875,NA,NA,NA,0.01,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2011,18190410820.6235,621.912310861592,11.8000001907349,11.8041858089129,16.5933467311629,1904.55993652344,NA,NA,NA,0.01,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2010,15633856787.0425,554.595200222354,2.1800000667572,2.1785375238942,3.81463031709113,1957.02905273438,0.01241,0.01241,0.01241,0.02,0,0,0.01,0.01,0.7,NA,5.97,18.87,25.26,92.5,NA,NA,NA,NA,NA,NA,NA,NA,"2.4","3.7",NA,NA,NA,2.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
